Employee Number,Last Name,First Name,User Name,Password,Rank,Birthdate,Location,
0001,Price,Ella,admin1,admin1,Sudo,21/03/1995,Toronto,
0002,Walker,Florence,admin2,admin2,Sudo,28/06/1987,Toronto,
0003,Murphy,Amelia,admin3,admin3,Sudo,28/09/1989,Brampton,
0004,Thomas,Molly,admin4,admin4,Sudo,23/05/1984,Ottawa,
0005,Barnes,Michael,admin5,admin5,Sudo,28/05/1975,Toronto,
0006,Johnson,Mary,admin6,admin6,Sudo,20/06/1975,Ottawa,
0007,Nelson,Jake,admin7,admin7,Sudo,22/07/1965,Toronto,
0008,Stewart,Nathan,admin8,admin8,Sudo,8/8/1963,Mississauga,
0009,Baker,William,admin9,admin9,Sudo,23/09/1960,Ottawa,
0010,Martin,Richard,admin10,admin10,Regular,16/04/1961,Toronto,
0011,Smith,Dewey,admin11,admin11,Regular,17/05/1961,Toronto,
0012,Harris,James,admin12,admin12,Regular,22/06/1965,Brampton,
0013,Foster,Thomas,admin13,admin13,Regular,6/4/1969,Mississauga,
0014,Ward,Matthew,admin14,admin14,Regular,9/3/1970,Toronto,
0015,Taylor,Jacob,admin15,admin15,Regular,27/11/1972,Mississauga,
0016,Allen,Jessica,admin16,admin16,Regular,18/02/1981,Toronto,
0017,Lee,Hannah,admin17,admin17,Regular,26/12/1983,Toronto,
0018,Evans,Sophie,admin18,admin18,Regular,23/05/1987,Ottawa,
0019,Hill,Nicole,admin19,admin19,Regular,7/5/1992,Toronto,
0020,King,Freya,admin20,admin20,Regular,23/05/1995,Ottawa,
